area,count,lat,lon
"Albuquerque, NM",28,35.0841034,-106.650985
"Atlanta, GA",120,33.7544657,-84.3898151
"Baltimore, MD",139,39.2908816,-76.610759
"Birmingham, AL",30,33.5206824,-86.8024326
"Boston, MA",140,42.3554334,-71.060511
"Charlotte, NC",89,35.2272086,-80.8430827
"Chicago, IN",119,41.6397857,-87.4548466
"Cincinnati, OH",70,39.1014537,-84.5124602
"Cleveland, OH",50,41.4996574,-81.6936772
"Columbia, SC",30,34.000754,-81.0352313
"Denver, CO",140,39.7392364,-104.984862
"Des Moines, IA",38,41.5868654,-93.6249494
"Detroit, MI",80,42.3315509,-83.0466403
"Hartford, CT",70,41.764582,-72.6908547
"Indianapolis, IN",60,39.7683331,-86.1583502
"Jackson, MS",24,32.2998686,-90.1830408
"Kansas City, MO",56,39.100105,-94.5781416
"Louisville, KY",33,38.2542376,-85.759407
"Madison, WI",30,43.07469,-89.3841663
"Memphis, TN",27,35.1460249,-90.0517638
"Milwaukee, WI",57,43.0386475,-87.9090751
"Minneapolis, MN",75,44.9772995,-93.2654692
"Montgomery, AL",19,32.3777111,-86.3090775
"New Orleans, LA",21,29.9559145,-90.0730259
"New York, NY",140,40.7127281,-74.0060152
"North Charleston, SC",30,32.8546197,-79.9748103
"Oklahoma City, OK",30,35.4729886,-97.5170536
"Phoenix, AZ",70,33.4484367,-112.074141
"Pittsburgh, PA",69,40.4416941,-79.9900861
"Portland, OR",60,45.5202471,-122.674194
"Raleigh, NC",90,35.7803977,-78.6390989
"Richmond, VA",60,37.5385087,-77.43428
"Sacramento, CA",140,38.5810606,-121.493895
"Salt Lake City, UT",70,40.7596198,-111.886797
"San Diego, CA",90,32.7174202,-117.162772
"San Francisco, CA",140,37.7792588,-122.4193286
"San Jose, CA",140,37.3361663,-121.890591
"Santa Fe, NM",14,35.6876096,-105.938456
"Savannah, GA",4,32.0790074,-81.0921335
"Seattle, CA",140,41.9634469,-121.9226378
"St Louis, MO",60,38.6280278,-90.1910154
"Tucson, AZ",30,32.2228765,-110.974847
"Washington D.C., D.C.",138,38.8950368,-77.0365427
